Year,GDP growth (annual %),Aide publique au développement nette reçue ($ US courants),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),External debt stocks (% of GNI),Broad money (% of GDP),Total natural resources rents (% of GDP),"Inflation, consumer prices (annual %)"
1961,2.048632751,2650000,10.03018418,16.62452489,,,,
1962,2.271069702,1490000,14.60474932,19.50334052,,,,
1963,-0.929401624,4990000,13.7550293,18.3835288,,,,
1964,3.962518848,8290000,12.78044807,19.92631435,,14.54284897,,
1965,-0.452253864,47590000,13.30279745,19.92784356,,14.71884254,,
1966,2.064552407,50820000,13.21170446,19.99999888,,15.31082531,,4.201860366
1967,5.52856561,47700000,17.29471531,23.19806683,,15.75077567,,3.211573979
1968,6.828786099,43640000,17.51425288,21.50406202,,15.82573149,,0.815190377
1969,3.721222168,48620000,17.75033878,22.79017541,,17.23257778,,0.956513164
1970,5.276455575,45570000,18.10926966,23.11154775,,17.13938521,,3.828872827
1971,3.929365032,47950000,19.16033769,21.58562928,43.75142098,17.38877262,2.918823621,2.878645343
1972,-1.272621531,46880000,14.44466833,21.02564868,40.94605122,17.86484813,2.756924651,5.385881492
1973,-2.61847833,54700000,14.26297439,18.32323301,38.0860858,17.61378256,2.019832584,5.622559653
1974,2.006879379,52500000,14.24785577,18.87873192,30.63996833,19.35486003,2.172244612,6.120101865
1975,1.258691634,62750000,15.52616125,20.20715387,39.45214969,18.46147692,1.474414535,22.10094442
1976,-3.068858391,82210000,15.85951839,20.89013523,34.8428485,17.80473374,2.04874958,8.191212832
1977,2.364000359,61350000,15.16374184,17.5247008,8.75465165,17.10945432,1.825052649,4.986815119
1978,-2.661805965,60580000,16.44499126,20.04897104,33.15042378,18.62066909,3.550013701,3.108952891
1979,9.85465029,90470000,17.15103831,24.05740086,13.33513138,19.03409193,3.410270085,6.528446923
1980,0.805770818,137090000,14.57538181,30.38712953,22.40079738,21.18372608,2.879910293,14.05559226
1981,-9.698788375,229550000,13.34275566,29.73785682,31.02494684,19.09069312,2.974429307,18.21786589
1982,-1.810194161,232980000,11.50527278,22.81624018,45.59625947,19.86222155,2.930094912,30.53817743
1983,0.902106319,240120000,11.22469002,20.66598553,55.88577143,21.52001026,3.928581989,31.78970465
1984,1.704678841,181180000,10.5705515,17.53413783,59.61370331,18.56186992,2.929998091,19.32833859
1985,1.155877164,150210000,13.28297237,17.90882397,76.47129485,13.76702297,3.245363356,9.856620954
1986,1.959105768,184640000,12.24165481,20.50791588,92.11295387,15.22637695,2.778185856,10.55648396
1987,1.178085519,309820000,12.14855791,15.54690475,96.40094602,15.44081285,3.737618421,14.4973321
1988,3.40341701,330590000,16.56455034,22.5059764,152.4326869,16.6646865,4.827795948,14.99313513
1989,4.078892777,295980000,16.29924254,23.09889279,161.7737849,15.85714992,5.565490881,26.85379714
1990,3.130029428,347230000,18.44881395,22.27095871,148.1925582,15.49651863,5.756995802,9.012995946
1991,-6.309534393,396960000,16.60214881,28.02718881,125.1303168,17.77594029,6.553966558,11.78448383
1992,1.186152287,455110000,18.10962522,26.68871014,157.2233128,16.1574385,7.607330651,8.592647605
1993,2.096559819,361550000,16.383779,24.66727322,135.3385567,20.02948729,7.0072824,14.51237861
1994,-0.071608256,361220000,15.31751944,24.61532624,117.5383458,21.15194392,5.144848575,10.0083612
1995,1.712213176,288140000,22.03226939,29.59885365,144.7393266,22.96139344,6.428980654,38.9417909
1996,2.148915048,299410000,24.13448467,31.71145628,143.9843087,24.74547631,9.378829973,49.08021006
1997,3.693492606,354690000,20.49243353,26.00428652,108.042349,19.48274368,7.528964025,19.75635454
1998,3.932336443,837670000,21.8661423,29.95999432,118.9512456,18.76773842,7.193561321,4.486382617
1999,4.6591157,484670000,21.5205757,29.27742094,119.897903,20.38066289,6.727806107,6.208016087
2000,4.760065099,362390000,24.46541817,32.20958991,130.0994427,19.20374596,4.040069871,9.929533993
2001,6.017824403,324480000,30.67932053,38.0051148,124.1353125,19.93181978,3.919355116,11.8596845
2002,-12.67378814,374530000,29.07857445,32.29216749,93.60442869,20.78630042,3.345859365,7.536284628
2003,9.784892131,373940000,16.00837948,22.57384546,105.0367694,22.63346478,4.265439629,16.49852553
2004,5.257003604,545360000,23.08574441,32.07349371,92.31148921,24.27271948,6.07522038,-1.704004796
2005,4.602899965,1252520000,32.63643678,47.48388761,89.26508244,23.41083385,7.151480414,13.9558018
2006,5.022607002,916150000,28.21239197,45.55279016,71.07950142,24.36644788,6.291294771,18.36382465
2007,6.240578451,784410000,29.72849817,45.76860123,28.09103976,20.12979015,6.522825378,10.76563716
2008,7.128513539,896830000,30.32365474,52.06714314,31.42019838,22.48331895,7.469041563,10.28796632
2009,-4.013860583,847200000,26.54133897,56.9084652,26.62453679,23.38778865,6.623104962,9.296508394
2010,0.263110856,434510000,22.36939044,51.62728555,33.18947756,22.44419717,7.739337005,8.954218024
2011,1.454392168,477310000,24.9740999,43.04859427,31.4775807,23.81756537,6.85076085,9.247321736
2012,3.027508092,447280000,26.74280145,42.3336619,29.05252567,23.84996336,7.394390426,9.482540486
2013,2.25520404,368490000,28.5577798,39.06393181,30.76095066,25.29635893,8.322001267,5.713844342
2014,3.315854165,499280000,30.06430099,38.75167924,28.16499502,24.90119549,9.222979138,5.826429445
2015,3.116614714,588120000,32.75822929,37.13864662,27.6730505,24.17124579,10.9113252,6.080595483
2016,4.179990236,676970000,32.06400512,35.5307754,31.60196598,24.28831817,11.82597244,7.404002032
2017,4.170794766,621800000,33.49671987,35.75931716,30.62165026,25.54869785,11.78965377,6.654801865
2018,,,35.41855646,39.03526885,,27.16183125,,8.284223644
,,,,,,28.4736752,,