Site,GroupNum,Date,Time,Longitude,Latitude,Altitude
004,1,8/30/18,8:03:18,48.422482,-18.755408,1018.83
005,1,8/30/18,9:10:56,48.42287,-18.755889,1030.02
006,1,8/30/18,9:42:50,48.422618,-18.756119,1043.66
007,1,8/30/18,9:54:25,48.422884,-18.756482,1010.65
AFOPOTSY,1,8/30/18,9:58:36,48.423147,-18.756418,1011.6
008,1,8/30/18,10:55:17,48.423346,-18.755993,1004.66
009,1,8/30/18,11:12:29,48.42337,-18.756139,989.67
010,1,8/30/18,11:25:53,48.423018,-18.757434,1003.12
013,1,9/4/18,11:39:18,48.38671,-18.755783,995.73
014,1,9/4/18,11:45:25,48.386688,-18.755676,988.29
015,1,9/4/18,11:46:00,48.386688,-18.755637,988.7
016,1,9/4/18,11:46:13,48.386692,-18.755627,988.78
017,1,9/4/18,11:49:41,48.386783,-18.755443,987.77
018,1,9/6/18,8:04:44,48.423566,-18.758406,998.91
019,1,9/6/18,8:21:59,48.423438,-18.758319,994.48
020,1,9/6/18,8:32:19,48.42317,-18.758291,993.63
021,1,9/6/18,9:43:06,48.422867,-18.758353,970.91
022,1,9/6/18,9:47:03,48.422749,-18.758522,991.85
023,1,9/6/18,9:58:41,48.422342,-18.758462,965.67
024,1,9/6/18,10:09:06,48.422227,-18.758222,958.6
025,1,9/6/18,10:19:24,48.422172,-18.75816,962.77
026,1,9/6/18,10:32:25,48.421709,-18.757896,961.36
027,1,9/6/18,12:29:16,48.423183,-18.756348,1010.56
028,1,9/6/18,13:27:02,48.422785,-18.756559,1006.69
029,1,9/6/18,13:48:01,48.422307,-18.756612,1023.31
030,1,9/6/18,13:57:01,48.422528,-18.757113,1030.67
031,1,9/7/18,5:38:10,48.422443,-18.757088,1037.1
032,1,9/7/18,10:46:28,48.422501,-18.757038,1030.15
033,1,9/7/18,10:57:59,48.422447,-18.757062,1011.38
034,1,9/7/18,11:06:02,48.423201,-18.756426,1028.89
035,1,9/7/18,12:32:19,48.423362,-18.756098,1027.26
036,1,9/7/18,13:07:12,48.422946,-18.755776,977.61
037,1,9/7/18,14:04:40,48.423182,-18.756468,1028.31
038,1,9/8/18,5:00:44,48.423183,-18.756483,1027
039,1,9/8/18,9:22:18,48.42345,-18.756117,1028
040,1,9/8/18,10:10:38,48.42345,-18.756133,988
041,1,9/8/18,11:34:55,48.373383,-18.75605,989
042,1,9/8/18,13:10:42,48.42345,-18.756133,944
043,1,9/8/18,14:20:00,48.424367,-18.757083,1039
044,1,9/10/18,7:11:16,48.42352,-18.756653,987.88
045,1,9/10/18,7:27:28,48.423539,-18.756564,1006
046,1,9/10/18,7:41:20,48.423218,-18.756364,1017.23
047,1,9/10/18,9:21:00,48.423263,-18.756229,1016.72
048,1,9/10/18,10:38:49,48.423256,-18.756034,993
049,1,9/10/18,11:26:22,48.423417,-18.756283,1005
050,1,9/10/18,14:30:21,48.422683,-18.756617,1040
051,1,9/11/18,5:10:18,48.422717,-18.756617,1038
052,1,9/11/18,8:15:28,48.423167,-18.756367,1018
053,1,9/11/18,12:29:09,48.422634,-18.756447,1027
054,1,9/11/18,14:30:17,48.422706,-18.757163,1043
055,1,9/12/18,5:11:08,48.422754,-18.757122,1034.26
056,1,9/12/18,5:44:48,48.423424,-18.756545,1028.67
057,1,9/12/18,6:00:04,48.423502,-18.756867,1005.74
058,1,9/12/18,6:19:24,48.423602,-18.756922,973.93
059,1,9/12/18,6:24:11,48.423675,-18.757194,1024.32
060,1,9/12/18,9:34:56,48.423413,-18.756605,987.82
061,1,9/12/18,11:41:51,48.423885,-18.757038,1007.82
062,1,9/12/18,13:10:32,48.423669,-18.757108,984.96
063,1,9/12/18,13:21:48,48.423584,-18.758098,1001.03
064,1,9/12/18,14:00:16,48.423696,-18.758524,1012.06
065,1,9/13/18,5:42:10,48.423536,-18.756542,1002.1
066,1,9/13/18,7:29:45,48.423573,-18.756675,989.64
067,1,9/13/18,8:36:01,48.423566,-18.756675,1013.54
068,1,9/13/18,8:52:04,48.423342,-18.756661,1010.56
069,1,9/13/18,9:03:15,48.423705,-18.757072,1005.56
070,1,9/13/18,12:49:52,48.4236,-18.756555,1006.22
071,1,9/13/18,13:11:54,48.424026,-18.757115,1006.15
072,1,9/13/18,13:55:12,48.423328,-18.757012,998.76
073,1,9/13/18,14:03:11,48.423062,-18.75693,1011.35
074,1,9/13/18,14:14:53,48.422438,-18.757188,1034.21
075,1,9/14/18,5:16:21,48.423084,-18.757502,1017
076,1,9/14/18,6:04:25,48.42389,-18.757067,1002.3
077,1,9/14/18,7:18:40,48.42402,-18.75705,1011.65
078,1,9/14/18,8:24:04,48.423518,-18.756774,987.25
079,1,9/14/18,10:35:50,48.423377,-18.756569,1014.68
080,1,9/14/18,11:18:05,48.423492,-18.756401,1004.2
081,1,9/14/18,12:02:31,48.423218,-18.756388,1040.46
082,1,9/14/18,12:54:48,48.423182,-18.756147,1012.43
083,1,9/14/18,13:09:52,48.422986,-18.755974,1016.82
084,1,9/14/18,13:31:58,48.422795,-18.755972,1046.45
085,1,9/14/18,13:42:30,48.422771,-18.755917,959.89
086,1,9/14/18,14:42:02,48.423445,-18.756744,1060.57
087,1,9/15/18,5:52:16,48.423124,-18.756542,1042.63
088,1,9/15/18,6:17:50,48.423343,-18.756749,1034.78
089,1,9/15/18,8:21:10,48.423438,-18.756485,971.35
090,1,9/15/18,9:05:32,48.423684,-18.756741,1005.13
091,1,9/15/18,11:05:41,48.423704,-18.757042,1007.36
092,1,9/15/18,11:33:33,48.423528,-18.756831,994.53
093,1,9/15/18,14:00:21,48.423198,-18.756629,1023.95
094,1,9/17/18,5:59:36,48.423509,-18.7566,1018.58
095,1,9/17/18,6:14:30,48.423212,-18.756337,1024.15
096,1,9/17/18,7:03:07,48.423095,-18.756247,990.19
097,1,9/17/18,13:02:40,48.423876,-18.756608,1018.44
098,1,9/17/18,14:21:58,48.422704,-18.756154,1005.09
099,1,9/18/18,5:37:51,48.423151,-18.756405,1025.13
100,1,9/18/18,7:17:54,48.423752,-18.756538,1042.88
101,1,9/18/18,7:28:20,48.423431,-18.756372,1008.58
102,1,9/18/18,12:30:17,48.423312,-18.756566,1016.54
103,1,9/18/18,12:44:58,48.423093,-18.757451,1005.54
104,1,9/18/18,13:15:29,48.423724,-18.757026,1009.48
105,1,9/18/18,14:18:57,48.423904,-18.756684,1003.24
106,1,9/19/18,6:18:13,48.423396,-18.756248,972.18
107,1,9/19/18,8:02:17,48.423197,-18.756629,1014.15
108,1,9/19/18,11:08:06,48.423284,-18.756501,1018.11
109,1,9/19/18,12:49:14,48.423285,-18.756422,1039.8
110,1,9/19/18,13:43:31,48.423553,-18.756899,985.54
111,1,9/19/18,13:48:33,48.42343,-18.756931,975.03
112,1,9/19/18,13:55:54,48.422866,-18.757687,1001.28
113,1,9/19/18,14:04:24,48.423094,-18.757296,988.23
114,1,9/19/18,14:12:59,48.423028,-18.757047,1010.84
115,1,9/19/18,14:28:29,48.422841,-18.756671,1007.9
116,1,9/19/18,14:34:35,48.422873,-18.756589,1006.17
117,1,9/19/18,14:46:12,48.423114,-18.756778,1026.77
118,1,9/20/18,5:46:32,48.423148,-18.757511,1045.33
119,1,9/20/18,6:42:50,48.423262,-18.757038,1020.07
120,1,9/20/18,7:47:49,48.423425,-18.756943,1003.32
121,1,9/20/18,8:14:32,48.424128,-18.757001,987.06
122,1,9/20/18,8:20:46,48.423868,-18.757086,990.27
123,1,9/20/18,8:33:18,48.423801,-18.756926,990.23
124,1,9/20/18,12:29:08,48.423018,-18.756622,1016.52
125,1,9/20/18,12:42:01,48.422566,-18.756549,1033.42
126,1,9/20/18,13:21:03,48.423158,-18.75664,1034.18
127,1,9/20/18,14:42:52,48.422875,-18.756427,990.82
128,1,9/20/18,14:55:58,48.423229,-18.756332,1020.06
129,1,9/21/18,10:26:04,48.423233,-18.75635,959
130,1,9/21/18,11:27:22,48.423167,-18.7564,960
131,1,9/21/18,12:03:51,48.423345,-18.758153,974.88
132,1,9/22/18,6:06:45,48.423233,-18.756367,962.2
133,1,9/22/18,6:46:45,48.423167,-18.756417,948.64
134,1,9/22/18,7:18:12,48.42325,-18.756333,1016
135,1,9/22/18,8:01:56,48.423233,-18.7564,986
136,1,9/22/18,14:45:08,48.423183,-18.756383,961.37
0011,1,10/3/18,4:58:24,48.42294898,-18.75739197,998.5
0022,1,10/3/18,5:04:04,48.42327001,-18.75693197,1000.64
0032,1,10/3/18,5:06:28,48.42333899,-18.75663299,999.56
0042,1,10/3/18,5:07:09,48.423441,-18.75663098,1000.55
0052,1,10/3/18,5:07:31,48.42349196,-18.756591,1000.41
0062,1,10/3/18,5:08:04,48.42354099,-18.75666199,999.47
0072,1,10/3/18,5:08:35,48.42357301,-18.75670197,999.87
0082,1,10/3/18,5:09:26,48.42356999,-18.75689602,997.76
0092,1,10/3/18,5:10:20,48.42354703,-18.75698998,997.14
0102,1,10/3/18,5:15:20,48.42365096,-18.75700104,994.18
0111,1,10/3/18,5:23:16,48.42355499,-18.75681303,977.16
0121,1,10/3/18,5:45:53,48.42346497,-18.75649201,989.79
0132,1,10/3/18,5:50:45,48.42319197,-18.75608498,992.57
0142,1,10/3/18,5:51:21,48.423169,-18.75605204,990.19
0152,1,10/3/18,5:53:03,48.42315098,-18.75625002,993.23
0162,1,10/3/18,5:53:58,48.42318099,-18.75629403,997.78
0172,1,10/3/18,6:06:14,48.42332097,-18.75661698,1005
0182,1,10/3/18,6:31:17,48.42330202,-18.75631498,1005.35
0192,1,10/3/18,7:01:54,48.42312399,-18.75646401,1013.97
0202,1,10/3/18,9:30:21,48.42318803,-18.75648103,1026.21
0212,1,10/3/18,9:32:09,48.42323103,-18.75645898,1024.97
0222,1,10/3/18,9:33:52,48.42338601,-18.75646703,1026.08
0232,1,10/3/18,9:41:31,48.423126,-18.75672896,1011.77
0242,1,10/3/18,9:43:40,48.42308996,-18.75666199,1012.24
0252,1,10/3/18,9:45:14,48.42309901,-18.75661396,1013.02
0262,1,10/3/18,10:45:15,48.42328903,-18.75620702,1007.42
0272,1,10/3/18,10:47:33,48.423298,-18.75620903,1010.18
0282,1,10/3/18,11:14:24,48.42318904,-18.75607903,1021.87
0292,1,10/3/18,12:08:11,48.42324704,-18.75650299,994.11
0302,1,10/3/18,12:15:58,48.42308996,-18.75671597,1006.85
0312,1,10/3/18,12:50:07,48.42320002,-18.75618598,992.52
0322,1,10/3/18,14:03:12,48.42307596,-18.75740798,1009.62
0332,1,10/3/18,14:29:57,48.42319599,-18.757281,1002.22
0342,1,10/4/18,7:18:37,48.42331703,-18.75663299,1018.66
0352,1,10/4/18,7:26:36,48.42258202,-18.75664196,1023.75
0362,1,10/4/18,7:28:08,48.42268202,-18.756562,1022.91
0372,1,10/4/18,10:31:24,48.42348701,-18.75681697,994.74
0382,1,10/4/18,10:59:29,48.42363998,-18.75698201,991.76
0392,1,10/4/18,11:31:48,48.42415002,-18.75785599,983.59
0402,1,10/4/18,11:44:06,48.42472502,-18.757425,994.69
0412,1,10/4/18,12:14:56,48.42489098,-18.75744402,1006.6
0422,1,10/4/18,12:27:41,48.42428598,-18.75707103,974.38
0432,1,10/4/18,12:32:50,48.42435999,-18.75683198,1000.03
0442,1,10/5/18,6:17:27,48.42393,-18.75675101,994.52
0452,1,10/5/18,6:17:44,48.423945,-18.75675302,993.02
0462,1,10/5/18,6:36:05,48.423845,-18.75691596,984.83
0472,1,10/5/18,6:39:15,48.42392497,-18.75679501,993.88
0482,1,10/5/18,6:44:43,48.42344603,-18.75678596,982.71
0492,1,10/5/18,7:00:44,48.42336103,-18.75647499,1004.36
0502,1,10/6/18,5:25:24,48.42336698,-18.75648304,926.86
0512,1,10/9/18,8:35:48,48.42331703,-18.75665001,933.02
0522,1,10/9/18,9:32:55,48.42331703,-18.75683298,947.31
0532,1,10/10/18,9:26:00,48.42336698,-18.75688302,941.84
0542,1,10/10/18,11:21:25,48.42344997,-18.75675,947.02
0552,2,10/30/18,10:37:54,48.41759998,-18.75660399,1034.36
1206,2,10/31/18,6:07:11,48.404442,-18.768106,1008.22
0562,2,11/1/18,5:50:16,48.388423,-18.75815699,1001.51
0572,2,11/1/18,5:51:49,48.38839802,-18.75821399,983.51
0582,2,11/1/18,10:44:36,48.39012997,-18.75603,973.81
0592,2,11/1/18,11:52:18,48.39067304,-18.75594299,971.19
0602,2,11/1/18,11:52:22,48.39067203,-18.75593796,969.51
0612,2,11/1/18,12:06:58,48.39064403,-18.75595196,955.24
0622,2,11/1/18,12:43:14,48.391214,-18.75637902,1000.73
0632,2,11/1/18,12:50:05,48.39113999,-18.75646602,1001.12
0642,2,11/1/18,13:24:16,48.38962496,-18.75690096,1020.04
0652,2,11/1/18,13:49:06,48.38890697,-18.75666702,1002.15
0662,2,11/2/18,4:22:54,48.38954701,-18.75571299,970.71
0672,2,11/2/18,4:23:08,48.38954098,-18.75571802,972.31
0682,2,11/2/18,4:23:08,48.38954098,-18.75571802,972.31
0692,2,11/2/18,4:23:23,48.38954098,-18.75572003,972.72
0702,2,11/2/18,5:57:00,48.39015696,-18.755282,960.36
0712,2,11/2/18,6:33:30,48.39008798,-18.75567201,980.83
0722,2,11/2/18,7:02:33,48.39051303,-18.75654196,1004.58
0732,2,11/2/18,8:15:17,48.39013098,-18.75430802,983.22
0742,2,11/5/18,4:47:47,48.38768598,-18.75519399,989.02
0752,2,11/6/18,5:18:21,48.38958196,-18.756922,1020.77
0762,2,11/6/18,6:48:11,48.38951097,-18.75609303,991.47
0772,2,11/6/18,7:03:50,48.38957702,-18.75515199,984.62
0782,2,11/6/18,7:12:49,48.39001799,-18.755124,986.68
0792,2,11/6/18,7:28:53,48.39024799,-18.754435,982.31
0802,2,11/6/18,7:49:23,48.38874201,-18.75367803,1033.42
0812,2,11/8/18,6:00:20,48.38847698,-18.75664598,995.37
0821,2,11/8/18,6:20:18,48.38867404,-18.75601198,961.47
0832,2,11/9/18,5:49:58,48.38772302,-18.75639897,984.05
0842,2,11/10/18,12:42:43,48.38838302,-18.75636703,992.61
0852,2,11/12/18,5:45:44,48.39136597,-18.75820301,991.22
0862,2,11/12/18,6:07:49,48.39128098,-18.75819102,990.44
1209,2,11/13/18,6:40:23,48.408193,-18.764644,1028.04
1210,2,11/13/18,6:44:07,48.408204,-18.764656,1030.44
0872,2,11/14/18,7:30:44,48.38919103,-18.75672997,1000.57
0882,2,11/14/18,9:41:42,48.39023097,-18.75580796,975.03
0891,2,11/15/18,10:53:00,48.390638,-18.755412,964.6
0902,2,11/15/18,11:06:02,48.39071704,-18.755455,968.58
0912,2,11/17/18,8:12:53,48.38925096,-18.75675604,964.09
0922,2,11/17/18,8:39:15,48.390494,-18.75577301,991.13
0932,2,11/17/18,8:45:25,48.390523,-18.75566396,966.41
0962,2,11/20/18,4:26:58,48.38848603,-18.75689602,982.31
0972,2,11/20/18,4:59:59,48.38915298,-18.75683298,997.08
0982,2,11/21/18,4:49:01,48.38898299,-18.75631699,944.71
0992,2,11/21/18,5:32:41,48.38986703,-18.756433,1042
1002,2,11/21/18,6:30:03,48.38976704,-18.75591701,948.63
1012,2,11/23/18,4:34:32,48.39079197,-18.758246,1005.58
1022,2,11/23/18,6:03:21,48.38957299,-18.756994,1030.43
1032,2,11/26/18,5:43:57,48.389359,-18.75745903,999.49
1042,2,11/26/18,10:20:23,48.38923797,-18.75685704,1010.51
1052,2,11/26/18,10:29:29,48.38988396,-18.75639302,1012.29
1062,2,11/26/18,10:45:31,48.38989704,-18.756361,1007.81
1072,2,11/26/18,11:04:34,48.39067404,-18.75635496,991.68
1082,2,11/26/18,11:43:27,48.39047103,-18.75653501,1006.57
1092,2,11/26/18,12:31:10,48.39156101,-18.75625798,1004.87
1102,2,11/26/18,13:30:08,48.39038897,-18.75827601,995.75
1112,2,11/26/18,13:30:13,48.39038897,-18.75826998,995.33
1122,2,11/26/18,13:30:27,48.39037799,-18.75828297,995.02
1132,2,11/26/18,13:38:08,48.39029199,-18.758361,1000.93
1142,2,11/26/18,14:11:55,48.38841202,-18.75813201,970.78
1152,2,11/26/18,14:29:50,48.38844798,-18.75826897,975.8
1171,2,11/27/18,4:37:03,48.38903303,-18.75696802,1011.3
1182,2,11/28/18,9:15:32,48.39077203,-18.75503196,1007.07
1192,2,11/28/18,10:09:46,48.390796,-18.75517404,983.54
1222,2,11/30/18,5:06:52,48.38848201,-18.75610904,958.95
1232,2,11/30/18,5:22:59,48.388194,-18.75749901,974.74
1242,2,11/30/18,6:14:35,48.38913303,-18.75923197,985.98
1252,2,11/30/18,6:33:22,48.38917703,-18.759166,991.96
1262,2,11/30/18,8:05:51,48.38893203,-18.76011902,986.96
1272,2,11/30/18,10:23:54,48.389013,-18.76004199,996.44
1282,2,11/30/18,10:25:14,48.38897998,-18.76008701,992.34
1292,2,11/30/18,10:25:30,48.38897796,-18.76008198,992.42
1302,2,11/30/18,10:38:16,48.38877101,-18.76011601,987.99
1311,2,11/30/18,12:43:26,48.38921802,-18.75730698,981.75
1322,2,11/30/18,12:58:04,48.390279,-18.75698201,1011.3
1332,2,11/30/18,13:00:07,48.39040297,-18.75708897,1011.7
1342,2,11/30/18,13:14:23,48.39071796,-18.756894,1004.57
1352,2,11/30/18,13:46:09,48.39121099,-18.75638698,1007
1362,2,11/30/18,13:47:27,48.39118802,-18.756418,1006.23
1371,2,11/30/18,13:52:55,48.39122096,-18.75645404,1002.36
1381,2,12/3/18,6:23:15,48.38835603,-18.76297801,990.98
1391,2,12/3/18,7:27:40,48.38752999,-18.76121102,1019.4
1401,2,12/3/18,8:50:17,48.38935599,-18.76140598,1028.23
1411,2,12/3/18,8:57:38,48.38936504,-18.76127698,1038.09
1421,2,12/3/18,9:06:31,48.38922699,-18.76085998,1011.41
1431,2,12/3/18,10:56:20,48.38948197,-18.75992398,980.69
1441,2,12/4/18,9:50:28,48.38828302,-18.75931696,948.89
1451,2,12/4/18,11:29:09,48.389933,-18.76106702,947.22
1461,2,12/4/18,12:44:52,48.38811697,-18.75990001,988
RANGA,2,12/4/18,15:13:27,48.395882,-18.770034,965.1
VO  ARA,2,12/4/18,15:16:31,48.39738,-18.769919,969.09
1471,2,12/5/18,8:50:01,48.3892,-18.75953296,957.31
1481,2,12/5/18,9:42:14,48.38806702,-18.76115,1036
1491,3,2/2/19,3:37:18,48.43542997,-18.76991697,942.32
1501,3,2/2/19,3:42:06,48.43574496,-18.77003901,938.17
1511,3,2/2/19,3:45:35,48.43594696,-18.77002702,947.32
1521,3,2/2/19,3:48:15,48.43615601,-18.77014101,942.06
1532,3,2/2/19,4:04:14,48.43663604,-18.76898398,949.14
1542,3,2/2/19,4:12:40,48.43601,-18.76972402,970.94
1552,3,2/2/19,4:19:01,48.43590497,-18.76987598,947.15
1562,3,2/2/19,4:46:03,48.43581897,-18.77004404,960.52
1572,3,2/2/19,4:52:02,48.43544296,-18.77012601,952.3
1582,3,2/2/19,5:12:39,48.43556802,-18.77061903,951.08
1592,3,2/2/19,5:13:00,48.43556902,-18.77063404,948.84
1602,3,2/2/19,5:18:27,48.43573004,-18.77073504,945.43
1612,3,2/2/19,5:30:39,48.43586901,-18.77091198,941.25
1622,3,2/2/19,5:37:08,48.43658499,-18.77055198,940.45
1632,3,2/2/19,5:57:25,48.43828501,-18.769276,932.51
1642,3,2/2/19,6:09:02,48.43761798,-18.76879203,948.4
1652,3,2/2/19,11:03:09,48.43767397,-18.76860403,955.73
1672,3,2/6/19,4:38:05,48.43692304,-18.76950902,904.56
1682,3,2/6/19,4:50:06,48.43710802,-18.76944599,933.41
1692,3,2/6/19,5:11:36,48.43712001,-18.769262,942.29
1702,3,2/6/19,12:58:42,48.43737097,-18.76923602,952.91
1712,3,2/6/19,13:06:10,48.43774899,-18.76891399,1005.05
1722,3,2/6/19,13:41:50,48.43789601,-18.76872104,948.01
1272,3,2/6/19,15:03:20,48.435044,-18.769822,945.22
1732,3,2/8/19,5:24:08,48.43656597,-18.76596901,936.71
1742,3,2/8/19,11:17:00,48.43614997,-18.76643303,932.32
1752,3,2/8/19,11:52:00,48.43628299,-18.76626698,#N/A
1762,3,2/9/19,4:15:42,48.42798701,-18.78426,937.63
1772,3,2/9/19,4:29:36,48.42776204,-18.78423602,932.3
1782,3,2/9/19,4:41:26,48.42774401,-18.78422203,950.29
1792,3,2/9/19,4:50:52,48.42768802,-18.78419302,945.73
1801,3,2/9/19,4:58:54,48.42809102,-18.78422001,931.31
1811,3,2/9/19,11:38:00,48.428461,-18.78448103,947.13
1822,3,2/11/19,5:44:04,48.42803,-18.78385196,928.36
1832,3,2/11/19,10:17:45,48.42910197,-18.78697397,935.54
1842,3,2/11/19,13:23:43,48.43050602,-18.78693097,1013.37
1852,3,2/11/19,13:47:24,48.43027401,-18.78685604,1011.53
1862,3,2/11/19,14:25:40,48.42943196,-18.787151,975.32
1872,3,2/11/19,14:36:49,48.42961301,-18.78685202,970.26
1882,3,2/12/19,6:32:20,48.42852202,-18.78497397,924.33
1892,3,2/12/19,12:28:35,48.42803302,-18.78393302,947.01
1273,3,2/12/19,15:54:16,48.434992,-18.769782,961.77