Date,FS,NumG,Time,GPS,Activity,Support,NumS_D,DistS_D,Can_H,Can_C1,Obs,Can_C2
9/6/18,Varecia_variegata,1,11:21,19,DEF,Famelona,50,5,14,45,NA,
9/6/18,Varecia_variegata,1,11:28,19,DEF,Famelona,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,12:00,20,DEF,Hazondomoina,NA,NA,11,60,NA,
9/6/18,Varecia_variegata,1,12:13,20,DEF,Hazondomoina,NA,NA,12,65,NA,
9/6/18,Varecia_variegata,1,12:18,NA,P,NA,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,13:36,NA,DEF,Afopotsy,13,2,15,7,NA,
9/6/18,Varecia_variegata,1,15:51,NA,DEF,Afopotsy,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,15:54,NA,DEF,Afopotsy,2,2,14,5,NA,
9/6/18,Varecia_variegata,1,16:14,27,DEF,Afopotsy,5,1.5,13,NA,NA,
9/7/18,Varecia_variegata,1,13:56,33,DEF,Varongy_fotsy,NA,3,NA,70,Afopotsy,
9/7/18,Varecia_variegata,1,13:58,NA,DEF,NA,NA,NA,NA,60,NA,
9/7/18,Varecia_variegata,1,15:07,34,DEF,Afopotsy,6,3,15,45,NA,
9/7/18,Varecia_variegata,1,15:16,34,DEF,Tavolo,4,1,14,25,NA,
9/7/18,Varecia_variegata,1,15:58,35,DEF,Ampana,8,1.5,14,25,NA,
9/8/18,Varecia_variegata,1,11:35,38,DEF,Faraloatra,3,2,17,30,NA,NA
9/8/18,Varecia_variegata,1,13:06,39,DEF,Afopotsy,2,15,14,25,NA,NA
9/8/18,Varecia_variegata,1,15:04,41,DEF,Antavaratra,3,3,14,35,NA,NA
9/10/18,Varecia_variegata,1,11:22,46,DEF,Afopotsy,6,2,15,25,NA,NA
9/10/18,Varecia_variegata,1,14:19,48,DEF,Afopotsy,9,2.5,14,45,NA,NA
9/11/18,Varecia_variegata,1,11:09,51,DEF,Fotona,7,2,18,20,NA,NA
9/11/18,Varecia_variegata,1,12:38,52,DEF,Afopotsy,3,2,15,45,NA,NA
9/11/18,Varecia_variegata,1,14:48,52,DEF,Afopotsy,5,2.5,15,45,NA,NA
9/11/18,Varecia_variegata,1,16:06,53,DEF,Faraloatra,10,3,20,45,NA,NA
9/12/18,Varecia_variegata,1,9:12,NA,DEF,Varongy,8,3,12,80,NA,NA
9/12/18,Varecia_variegata,1,10:21,59,DEF,Afopotsy,9,3,19,20,NA,NA
9/12/18,Varecia_variegata,1,10:22,59,DEF,Afopotsy,7,3,19,20,NA,NA
9/12/18,Varecia_variegata,1,11:24,59,DEF,Afopotsy,6,3,19,20,NA,NA
9/12/18,Varecia_variegata,1,11:43,59,DEF,Afopotsy,6,2,19,20,NA,NA
9/12/18,Varecia_variegata,1,12:18,59,DEF,Afopotsy,4,2,18,30,NA,NA
9/12/18,Varecia_variegata,1,14:22,60,DEF,Tavolo,14,3,16,75,NA,NA
9/12/18,Varecia_variegata,1,14:24,60,DEF,Tavolo,10,3,16,75,NA,NA
9/12/18,Varecia_variegata,1,14:26,60,P,Afopotsy,10,3,17,75,NA,NA
9/12/18,Varecia_variegata,1,14:27,60,DEF,Faraloatra,4,2,17,60,NA,NA
9/12/18,Varecia_variegata,1,16:00,61,DEF,Afopotsy,11,3,14,20,NA,NA
9/13/18,Varecia_variegata,1,10:23,66,DEF,Volomborona,7,3,14,10,NA,NA
9/13/18,Varecia_variegata,1,10:26,66,DEF,Volomborona,5,3,14,10,NA,NA
9/13/18,Varecia_variegata,1,10:34,66,DEF,Volomborona,7,3,14,10,NA,NA
9/13/18,Varecia_variegata,1,11:32,66,DEF,Varongy,9,2,19,45,NA,NA
9/13/18,Varecia_variegata,1,11:53,NA,DEF,Monkaranana,13,3,14,30,NA,NA
9/13/18,Varecia_variegata,1,13:57,69,DEF,Afopotsy,12,3,13,25,NA,NA
9/13/18,Varecia_variegata,1,14:13,69,DEF,Afopotsy,8,2,10,25,NA,NA
9/13/18,Varecia_variegata,1,15:30,NA,DEF,Afopotsy,3,2,15,NA,NA,NA
9/13/18,Varecia_variegata,1,16:04,NA,DEF,Tavolo,10,3,12,30,NA,NA
9/13/18,Varecia_variegata,1,16:42,71,DEF,Afopotsy,8,2,10,10,NA,NA
9/13/18,Varecia_variegata,1,16:46,71,DEF,Afopotsy,4,2,10,10,NA,NA
9/14/18,Varecia_variegata,1,8:29,NA,DEF,Hazondomoina,7,3,16,75,NA,NA
9/14/18,Varecia_variegata,1,9:54,76,DEF,Afopotsy,NA,2,9,10,NA,NA
9/14/18,Varecia_variegata,1,10:08,76,DEF,Afopotsy,4,2,9,10,NA,NA
9/14/18,Varecia_variegata,1,10:10,NA,DEF,Vahy,3,NA,9,100,NA,NA
9/14/18,Varecia_variegata,1,11:20,78,DEF,Varongy,4,3,15,80,NA,NA
9/14/18,Varecia_variegata,1,13:32,79,DEF,Afopotsy,7,3,18,45,NA,NA
9/14/18,Varecia_variegata,1,13:53,79,DEF,Afopotsy,4,2.5,20,40,NA,NA
9/14/18,Varecia_variegata,1,14:10,79,DEF,NA,3,2,19,40,NA,NA
9/14/18,Varecia_variegata,1,14:12,NA,DEF,Tavolo,6,3,18,50,NA,NA
9/14/18,Varecia_variegata,1,14:47,NA,DEF,Vahy,10,4,12,100,NA,NA
9/14/18,Varecia_variegata,1,15:21,81,DEF,Afopotsy,5,1,14,45,NA,NA
9/14/18,Varecia_variegata,1,15:30,81,DEF,Afopotsy,NA,2,14,15,NA,NA
9/14/18,Varecia_variegata,1,15:45,81,DEF,Afopotsy,5,1,14,15,NA,NA
9/14/18,Varecia_variegata,1,16:06,83,DEF,Hasina,8,3,8,75,NA,NA
9/14/18,Varecia_variegata,1,16:15,83,DEF,Faraloatra,4,2,8,100,NA,NA
9/14/18,Varecia_variegata,1,16:50,85,DEF,Ampana,6,3,18,100,NA,NA
9/15/18,Varecia_variegata,1,8:45,87,DEF,Ambavy,3,0.5,15,75,NA,NA
9/15/18,Varecia_variegata,1,11:45,89,DEF,Afopotsy,12,3,17,95,NA,NA
9/15/18,Varecia_variegata,1,14:01,90,DEF,Varongy,7,4,16,50,NA,NA
9/15/18,Varecia_variegata,1,14:27,91,DEF,Famelona,4,3,15,60,NA,NA
9/15/18,Varecia_variegata,1,14:35,NA,DEF,Varongy,6,3,16,45,NA,NA
9/15/18,Varecia_variegata,1,15:16,NA,DEF,Volomborona,4,5,15,47,NA,NA
9/15/18,Varecia_variegata,1,15:35,NA,DEF,Afopotsy,7,3,18,25,NA,NA
9/15/18,Varecia_variegata,1,16:10,86,DEF,Ambavy,5,3,14,25,NA,NA
9/15/18,Varecia_variegata,1,16:41,NA,DEF,Afopotsy,1,1,18,25,NA,NA
9/15/18,Varecia_variegata,1,16:45,86,DEF,Afopotsy,8,4,19,10,NA,NA
9/15/18,Varecia_variegata,1,17:30,93,DEF,Voamboana,0,0,15,30,NA,NA
9/17/18,Varecia_variegata,1,13:16,96,DEF,Ampana,13,5,20,75,NA,NA
9/17/18,Varecia_variegata,1,13:24,96,DEF,Hazondomoina,3,4,10,30,NA,NA
9/17/18,Varecia_variegata,1,13:35,88,DEF,Longotra,7,1,14,75,NA,NA
9/17/18,Varecia_variegata,1,14:50,86,DEF,Afopotsy,5,4,15,20,NA,NA
9/17/18,Varecia_variegata,1,15:27,NA,DEF,Longotra,4,3,14,75,NA,NA
9/17/18,Varecia_variegata,1,15:35,NA,DEF,Rotra_fotsy,3,2,15,20,NA,NA
9/17/18,Varecia_variegata,1,15:52,NA,DEF,Famelona,4,3,18,20,NA,NA
9/17/18,Varecia_variegata,1,16:12,95,DEF,Afopotsy,8,1,14,25,NA,NA
9/17/18,Varecia_variegata,1,17:00,95,DEF,Afopotsy,12,4,16,25,NA,NA
9/18/18,Varecia_variegata,1,8:35,NA,DEF,Ramy,4,1,16,25,NA,NA
9/18/18,Varecia_variegata,1,9:36,85,DEF,Afopotsy,5,1,15,25,NA,NA
9/18/18,Varecia_variegata,1,11:50,NA,DEF,Famelona,8,3,15,50,NA,NA
9/18/18,Varecia_variegata,1,11:31,NA,DEF,Tavolo,7,4,15,40,NA,NA
9/18/18,Varecia_variegata,1,14:02,88,DEF,Afopotsy,13,1,15,10,NA,NA
9/18/18,Varecia_variegata,1,14:03,88,DEF,Longotra,10,4,15,50,NA,NA
9/18/18,Varecia_variegata,1,14:16, NA,DEF,Tavolo,6,2,16,40,NA,NA
9/18/18,Varecia_variegata,1,14:27,NA,DEF,Vahy,7,5,15,70,NA,NA
9/18/18,Varecia_variegata,1,14:58,94,DEF,Afopotsy,8,4,21,45,NA,NA
9/18/18,Varecia_variegata,1,15:07,NA,DEF,Voantsilana,4,4,19,30,NA,NA
9/18/18,Varecia_variegata,1,15:32, NA,DEF,Loditrovy,3,1,13,50,NA,NA
9/18/18,Varecia_variegata,1,16:02,103,DEF,Afobalo,NA,NA,15,45,NA,NA
9/18/18,Varecia_variegata,1,16:47,104,DEF,Afopotsy,10,4,18,45,NA,NA
9/18/18,Varecia_variegata,1,17:00,104,DEF,Afopotsy,6,3,14,30,NA,NA
9/19/18,Varecia_variegata,1,8:37,104,DEF,Afopotsy,3,3,14,75,NA,NA
9/19/18,Varecia_variegata,1,8:58,89,DEF,Afopotsy,2,2,15,80,NA,NA
9/19/18,Varecia_variegata,1,9:31,106,DEF,Voambalandina,7,5,6,80,NA,NA
9/19/18,Varecia_variegata,1,9:32,106,DEF,Vahy,4,2,8,45,NA,NA
9/19/18,Varecia_variegata,1,10:49,96,DEF,Ampana,11,5,20,50,NA,NA
9/19/18,Varecia_variegata,1,13:54,88,DEF,Longotra,23,2,16,20,NA,NA
9/19/18,Varecia_variegata,1,14:09,108,DEF,Rotra,9,2,15,45,NA,NA
9/19/18,Varecia_variegata,1,15:04,101,DEF,Famelona,10,2,16,85,NA,NA
9/19/18,Varecia_variegata,1,15:47,109,DEF,Varongy_mavo,4,1,19,50,NA,NA
9/19/18,Varecia_variegata,1,16:25,94,DEF,Afopotsy,2,4,20,98,NA,NA
9/19/18,Varecia_variegata,1,16:30,88,DEF,Longotra,2,3,15,45,NA,NA
9/19/18,Varecia_variegata,1,16:49,NA,DEF,Loditrovy,NA,2,8,30,NA,NA
9/19/18,Varecia_variegata,1,17:18,114,DEF,Tavolo,NA,2,13,78,NA,NA
9/19/18,Varecia_variegata,1,17:38,116,DEF,Tavolo,NA,NA,18,80,NA,NA
9/20/18,Varecia_variegata,1,8:50,118,DEF,Ramy,5,2,18,30,NA,NA
9/20/18,Varecia_variegata,1,9:30,103,DEF,Ramy,9,2,7,45,NA,NA
9/20/18,Varecia_variegata,1,10:40,119,DEF,Ambavy,21,5,15,97,NA,NA
9/20/18,Varecia_variegata,1,10:42,119,DEF,Ambavy,5,1,15,27,NA,NA
9/20/18,Varecia_variegata,1,11:00,105,DEF,Afopotsy,11,2,16,35,NA,NA
9/20/18,Varecia_variegata,1,11:28,NA,DEF,NA,3,0.5,5,50,NA,NA
9/20/18,Varecia_variegata,1,13:42,97,DEF,Afopotsy,9,2,16,50,NA,NA
9/20/18,Varecia_variegata,1,14:30,105,DEF,Famelona,9,2,16,45,NA,NA
9/20/18,Varecia_variegata,1,14:45,94,DEF,Afopotsy,9,3,18,30,NA,NA
9/20/18,Varecia_variegata,1,15:12,86,DEF,Afopotsy,14,3,20,75,NA,NA
9/20/18,Varecia_variegata,1,15:15,86,DEF,Afopotsy,11,2,20,25,NA,NA
9/20/18,Varecia_variegata,1,15:35,NA,DEF,Vahy,4,1,12,30,NA,NA
9/20/18,Varecia_variegata,1,16:24,117,DEF,Varongy,11,2,20,45,NA,NA
9/20/18,Varecia_variegata,1,16:53,119,DEF,Ambavy,2,1,19,25,NA,NA
9/20/18,Varecia_variegata,1,17:12,119,DEF,Ambavy,13,3,20,30,NA,NA
9/20/18,Varecia_variegata,1,17:15,119,DEF,Ambavy,6,2,19,30,NA,NA
9/20/18,Varecia_variegata,1,17:37,115,DEF,Kijy,6,1,14,15,NA,NA
9/21/18,Varecia_variegata,1,9:10,94,DEF,Afopotsy,14,3,15,45,NA,NA
9/21/18,Varecia_variegata,1,9:45,88,DEF,Varongy,NA,NA,NA,NA,NA,NA
9/21/18,Varecia_variegata,1,11:22,88,DEF,Longotra,8,3,15,30,NA,NA
9/21/18,Varecia_variegata,1,13:34,129,DEF,Tavolo,13,3,15,50,NA,NA
9/21/18,Varecia_variegata,1,16:52,94,DEF,Afopotsy,4,4,15,45,NA,NA
9/22/18,Varecia_variegata,1,11:33,135,DEF,Afopotsy,8,3,14,45,NA,NA
9/22/18,Varecia_variegata,1,12:38,NA,DEF,Famelona,12,4,15,75,NA,NA
9/22/18,Varecia_variegata,1,15:08,94,DEF,Afopotsy,11,4,15,75,NA,NA
9/24/18,Varecia_variegata,1,9:17,95,DEF,Afopotsy,9,4,14,25,NA,30
9/24/18,Varecia_variegata,1,10:20,95,DEF,Afopotsy,12,4,15,25,NA,30
9/24/18,Varecia_variegata,1,11:27,94,DEF,Afopotsy,8,3,17,45,NA,70
9/24/18,Varecia_variegata,1,15:08,103,DEF,Antavaratra,4,2,14,25,NA,35
9/25/18,Varecia_variegata,1,9:22,104,DEF,Afopotsy,4,2,15,30,NA,40
9/25/18,Varecia_variegata,1,10:38,115,DEF,Vahy,12,4,16,45,NA,40
9/25/18,Varecia_variegata,1,11:45,94,DEF,Afopotsy,10,4,16,75,NA,70
9/25/18,Varecia_variegata,1,15:36,103,DEF,Vahy,7,4,14,35,NA,50
9/25/18,Varecia_variegata,1,17:07,119,DEF,Ambavy,9,4,16,75,NA,80
9/26/18,Varecia_variegata,1,10:04,86,DEF,Afopotsy,8,4,15,10,NA,20
9/26/18,Varecia_variegata,1,10:28,86,DEF,Afopotsy,11,5,16,15,NA,20
9/26/18,Varecia_variegata,1,11:19,86,DEF,Afopotsy,6,4,16,10,NA,20
9/26/18,Varecia_variegata,1,13:10,NA,DEF,Vahy,10,3,14,45,NA,50
9/26/18,Varecia_variegata,1,14:00,86,DEF,Afopotsy,7,4,17,45,NA,30
9/26/18,Varecia_variegata,1,15:09,94,DEF,Ambavy,3,2,14,75,NA,80
9/27/18,Varecia_variegata,1,10:36,97,DEF,Afopotsy,13,5,18,30,NA,35
9/27/18,Varecia_variegata,1,11:30,105,DEF,Arina,9,4,18,30,NA,35
9/27/18,Varecia_variegata,1,13:00,119,DEF,Ambavy,9,4,16,45,NA,55
9/27/18,Varecia_variegata,1,16:30,119,DEF,Ambavy,8,4,15,45,NA,50
9/28/18,Varecia_variegata,1,8:22,104,DEF,Afopotsy,7,3,14,30,NA,20
9/28/18,Varecia_variegata,1,9:38,103,DEF,Antavaratra,8,3,15,35,NA,25
9/28/18,Varecia_variegata,1,10:47,119,DEF,Ambavy,12,4,15,75,NA,80
9/28/18,Varecia_variegata,1,10:52,119,DEF,Ambavy,10,4,15,75,NA,80
9/28/18,Varecia_variegata,1,12:45,94,DEF,Famelona,3,2,15,40,NA,50
9/28/18,Varecia_variegata,1,16:07,119,DEF,Ambavy,5,3,17,75,NA,70
9/29/18,Varecia_variegata,1,13:45,84,DEF,Ramy,14,5,15,60,NA,70
9/29/18,Varecia_variegata,1,15:10,94,DEF,Afopotsy,9,3,15,30,NA,35
9/29/18,Varecia_variegata,1,16:50,119,DEF,Ambavy,4,2,15,70,NA,75
9/29/18,Varecia_variegata,1,16:58,119,DEF,Ambavy,3,2,15,70,NA,75
9/29/18,Varecia_variegata,1,17:52,116,DEF,Tavolo,8,3,14,45,NA,50
10/1/18,Varecia_variegata,1,8:53,146,DEF,Ambavy,8,4,14,25,NA,30
10/1/18,Varecia_variegata,1,9:10,146,DEF,Ambavy,13,5,15,25,NA,30
10/1/18,Varecia_variegata,1,10:24,97,DEF,Arina,6,4,16,40,NA,55
10/1/18,Varecia_variegata,1,13:36,88,DEF,Longotra,2,4,16,60,NA,70
10/1/18,Varecia_variegata,1,16:30,84,DEF,Ampana,9,4,18,40,NA,60
10/1/18,Varecia_variegata,1,17:48,NA,DEF,Varongy,7,3,13,25,NA,40
10/2/18,Varecia_variegata,1,11:15,97,DEF,Afopotsy,9,4,17,30,NA,40
10/2/18,Varecia_variegata,1,12:38,NA,DEF,Famelona,4,2,15,75,NA,90
10/2/18,Varecia_variegata,1,15:35,86,DEF,Afopotsy,4,2,15,30,NA,40
10/2/18,Varecia_variegata,1,16:54,117,DEF,Varongy,7,3,17,25,NA,35
10/3/18,Varecia_variegata,1,8:49,14,DEF,Hazondomoina,6,2,8,75,NA,80
10/3/18,Varecia_variegata,1,13:04,12,DEF,Menavahatra,13,5,17,75,NA,65
10/3/18,Varecia_variegata,1,13:17,12,DEF,Famelona,11,4,19,80,NA,90
10/3/18,Varecia_variegata,1,13:34,18,DEF,Vahy,9,2,14,25,NA,35
10/3/18,Varecia_variegata,1,13:44,18,DEF,Vahy,5,2,14,25,NA,35
10/3/18,Varecia_variegata,1,14:50,26,DEF,Voamboana,9,5,18,20,NA,25
10/3/18,Varecia_variegata,1,15:12,29,DEF,Ambavy,7,4,18,20,NA,25
10/3/18,Varecia_variegata,1,15:45,26,DEF,Voamboana,9,4,18,15,NA,20
10/3/18,Varecia_variegata,1,15:48,26,DEF,Voamboana,12,6,18,15,NA,20
10/3/18,Varecia_variegata,1,16:02,26,DEF,Voambalandina,9,0.5,8,3,NA,5
10/3/18,Varecia_variegata,1,16:31,9,DEF,Ambavy,8,4,16,30,NA,40
10/3/18,Varecia_variegata,1,16:55,24,DEF,Rotra,4,2,16,50,NA,55
10/4/18,Varecia_variegata,1,10:15,34,DEF,Longotra,6,3,15,30,NA,40
10/4/18,Varecia_variegata,1,13:03,15,DEF,Ampana,14,6,19,30,NA,25
10/4/18,Varecia_variegata,1,13:13,12,DEF,Famelona,8,4,16,75,NA,80
10/4/18,Varecia_variegata,1,13:21,12,DEF,Famelona,7,4,19,75,NA,80
10/4/18,Varecia_variegata,1,14:23,10,DEF,Afopotsy,8,4,14,50,NA,55
10/4/18,Varecia_variegata,1,14:30,39,DEF,Faraloatra,4,2,12,25,NA,35
10/4/18,Varecia_variegata,1,15:11,40,DEF,Vahy,10,2,10,10,NA,5
10/4/18,Varecia_variegata,1,15:40,14,DEF,Hazondomoina,5,0.5,10,75,NA,65
10/4/18,Varecia_variegata,1,15:58,31,DEF,Famelona,7,4,17,25,NA,30
10/4/18,Varecia_variegata,1,16:26,14,DEF,Hazondomoina,8,4,15,25,NA,30
10/4/18,Varecia_variegata,1,17:13,3,DEF,Varongy,5,2,12,50,NA,55
10/4/18,Varecia_variegata,1,17:32,9,DEF,Ambavy,4,2,19,30,NA,25
10/4/18,Varecia_variegata,1,17:37,9,DEF,Ambavy,7,3,18,30,NA,25
10/5/18,Varecia_variegata,1,8:17,9,DEF,Ambavy,10,4,16,25,NA,30
10/5/18,Varecia_variegata,1,9:07,9,DEF,Ambavy,13,6,19,25,NA,30
10/5/18,Varecia_variegata,1,9:45,48,DEF,Afopotsy,11,4,14,35,NA,45
10/5/18,Varecia_variegata,1,10:53,15,DEF,Ampana,7,8,19,20,NA,30
10/5/18,Varecia_variegata,1,14:38,5,DEF,Afopotsy,9,4,15,55,NA,45
10/5/18,Varecia_variegata,1,16:18,9,DEF,Ambavy,4,2,15,70,NA,75
10/5/18,Varecia_variegata,1,16:56,32,DEF,Antavaratra,10,3,15,15,NA,20
10/5/18,Varecia_variegata,1,17:20,32,DEF,Antavaratra,6,2,15,15,NA,20
10/6/18,Varecia_variegata,1,9:40,9,DEF,Ambavy,10,3,16,70,NA,60
10/6/18,Varecia_variegata,1,14:19,5,DEF,Afopotsy,14,5,15,50,NA,50
10/6/18,Varecia_variegata,1,14:51,5,DEF,Afopotsy,11,3,17,50,NA,50
10/6/18,Varecia_variegata,1,16:18,44,DEF,Afopotsy,11,3,15,55,NA,65
10/8/18,Varecia_variegata,1,14:10,15,DEF,Ampana,10,7,21,70,NA,75
10/8/18,Varecia_variegata,1,15:34,9,DEF,Ambavy,7,4,17,50,NA,60
10/8/18,Varecia_variegata,1,16:52,17,DEF,Afopotsy,8,3,14,30,NA,40
10/9/18,Varecia_variegata,1,11:25,16,DEF,Longotra,14,4,16,40,NA,45
10/9/18,Varecia_variegata,1,13:19,9,DEF,Ambavy,9,4,17,30,NA,40
