host,ecto,season
lemur,tick,1
bird,mite,1
fossa,mite,1
bat,bat fly,1
bat,bat fly,1
bat,bat fly,1
bat,bat fly,1
bird,flea,1
lemur,flea,1
lemur,mite,1
bird,flea,1
bird,mite,1
bat,bat fly,1
fossa,mite,1
bat,bat fly,1
fossa,mite,1
bat,bat fly,1
bird,tick,1
bat,bat fly,1
lemur,tick,1
bat,bat fly,1
lemur,mite,1
fossa,tick,1
bird,flea,1
lemur,tick,1
fossa,mite,1
lemur,tick,1
bird,mite,1
bat,bat fly,1
lemur,mite,1
fossa,tick,1
bird,flea,1
bat,bat fly,1
bird,mite,1
bird,flea,1
bird,flea,1
fossa,flea,1
bird,mite,1
lemur,tick,1
bat,bat fly,1
fossa,mite,1
fossa,tick,1
lemur,tick,1
bird,mite,1
bird,flea,1
bat,bat fly,1
lemur,mite,1
bird,tick,1
lemur,flea,1
bat,bat fly,1
fossa,flea,1
fossa,mite,1
bat,bat fly,1
lemur,mite,1
fossa,flea,1
lemur,tick,1
bird,tick,1
lemur,tick,1
lemur,tick,1
bird,mite,1
bird,mite,1
fossa,flea,1
bird,tick,1
lemur,flea,1
lemur,tick,1
bat,bat fly,1
fossa,tick,1
fossa,mite,1
bird,mite,1
fossa,mite,1
fossa,flea,1
bat,bat fly,1
bat,bat fly,1
lemur,tick,1
fossa,flea,1
bird,flea,1
fossa,tick,1
bird,tick,1
bat,bat fly,1
lemur,flea,1
fossa,mite,1
lemur,flea,1
bat,bat fly,1
bat,bat fly,1
lemur,tick,1
fossa,flea,1
bird,mite,1
bat,bat fly,1
bird,flea,1
lemur,tick,1
lemur,flea,1
bird,flea,1
fossa,tick,1
bat,bat fly,1
fossa,mite,1
fossa,mite,1
lemur,mite,1
fossa,flea,1
bat,bat fly,1
bat,bat fly,1
fossa,tick,2
bat,bat fly,2
fossa,mite,2
bat,bat fly,2
fossa,tick,2
lemur,flea,2
bird,mite,2
bat,bat fly,2
lemur,tick,2
fossa,flea,2
lemur,tick,2
bird,flea,2
bat,bat fly,2
lemur,mite,2
bird,mite,2
bird,flea,2
fossa,mite,2
fossa,mite,2
bat,bat fly,2
fossa,tick,2
fossa,mite,2
bat,bat fly,2
fossa,tick,2
fossa,mite,2
fossa,tick,2
fossa,tick,2
fossa,flea,2
fossa,mite,2
bat,bat fly,2
bat,bat fly,2
bird,tick,2
lemur,tick,2
fossa,flea,2
bat,bat fly,2
bat,bat fly,2
bat,bat fly,2
bat,bat fly,2
lemur,tick,2
lemur,flea,2
fossa,flea,2
bird,flea,2
bird,flea,2
lemur,tick,2
lemur,flea,2
bird,tick,2
bat,bat fly,2
bird,flea,2
bird,tick,2
lemur,mite,2
bird,flea,2
fossa,tick,2
lemur,flea,2
lemur,tick,2
fossa,flea,2
lemur,mite,2
fossa,tick,2
lemur,flea,2
bird,flea,2
bat,bat fly,2
bird,mite,2
lemur,flea,2
bat,bat fly,2
bird,mite,2
lemur,flea,2
lemur,flea,2
bat,bat fly,2
fossa,tick,2
bat,bat fly,2
bat,bat fly,2
lemur,mite,2
lemur,flea,2
lemur,mite,2
lemur,mite,2
bat,bat fly,2
fossa,mite,2
bat,bat fly,2
bat,bat fly,2
bird,flea,2
bird,tick,2
bird,tick,2
bat,bat fly,2
fossa,tick,2
fossa,mite,2
bird,tick,2
fossa,flea,2
bat,bat fly,2
bird,tick,2
bird,mite,2
lemur,mite,2
bird,mite,2
bat,bat fly,2
bat,bat fly,2
bird,tick,2
lemur,mite,2
lemur,flea,2
fossa,tick,2
bird,mite,2
bird,flea,2
lemur,tick,2
bird,flea,2
bird,tick,3
bird,mite,3
lemur,mite,3
fossa,flea,3
bat,bat fly,3
lemur,mite,3
bird,mite,3
lemur,mite,3
bat,bat fly,3
lemur,mite,3
bird,mite,3
lemur,mite,3
bat,bat fly,3
fossa,tick,3
bat,bat fly,3
bat,bat fly,3
bird,flea,3
bird,mite,3
bird,flea,3
bird,flea,3
bat,bat fly,3
bird,mite,3
fossa,mite,3
bat,bat fly,3
lemur,tick,3
lemur,flea,3
lemur,tick,3
bat,bat fly,3
bird,flea,3
lemur,flea,3
bird,flea,3
fossa,mite,3
bird,flea,3
bird,flea,3
fossa,flea,3
fossa,tick,3
lemur,flea,3
bird,mite,3
lemur,tick,3
bird,flea,3
bird,tick,3
bat,bat fly,3
bat,bat fly,3
lemur,tick,3
fossa,mite,3
fossa,mite,3
bird,flea,3
bird,tick,3
bat,bat fly,3
fossa,tick,3
lemur,flea,3
bat,bat fly,3
fossa,mite,3
bat,bat fly,3
lemur,mite,3
lemur,flea,3
fossa,tick,3
lemur,tick,3
bat,bat fly,3
fossa,mite,3
fossa,flea,3
bat,bat fly,3
fossa,tick,3
fossa,flea,3
bat,bat fly,3
lemur,tick,3
bird,mite,3
fossa,flea,3
fossa,tick,3
fossa,flea,3
lemur,tick,3
fossa,flea,3
bat,bat fly,3
bat,bat fly,3
bird,mite,3
bat,bat fly,3
fossa,tick,3
bird,mite,3
lemur,mite,3
bat,bat fly,3
bird,tick,3
bat,bat fly,3
bat,bat fly,3
lemur,mite,3
fossa,tick,3
lemur,tick,3
bat,bat fly,3
bird,tick,3
fossa,tick,3
bird,tick,3
lemur,mite,3
fossa,flea,3
lemur,tick,3
lemur,flea,3
fossa,mite,3
bat,bat fly,3
bird,tick,3
bat,bat fly,3
fossa,mite,3
lemur,tick,3
bird,flea,4
bat,bat fly,4
fossa,tick,4
lemur,tick,4
lemur,mite,4
bat,bat fly,4
bird,mite,4
bird,mite,4
bat,bat fly,4
fossa,flea,4
bird,mite,4
lemur,tick,4
lemur,tick,4
bat,bat fly,4
fossa,mite,4
bat,bat fly,4
fossa,flea,4
bat,bat fly,4
fossa,tick,4
fossa,flea,4
bird,flea,4
fossa,tick,4
bird,tick,4
bird,tick,4
bat,bat fly,4
fossa,mite,4
fossa,flea,4
fossa,mite,4
fossa,tick,4
bird,flea,4
fossa,mite,4
bird,tick,4
fossa,flea,4
lemur,flea,4
lemur,flea,4
bat,bat fly,4
fossa,tick,4
lemur,flea,4
fossa,tick,4
bat,bat fly,4
bat,bat fly,4
fossa,flea,4
bird,flea,4
bird,tick,4
bird,mite,4
bat,bat fly,4
bird,tick,4
lemur,mite,4
fossa,flea,4
fossa,tick,4
bat,bat fly,4
bird,flea,4
bat,bat fly,4
lemur,mite,4
lemur,mite,4
fossa,flea,4
bat,bat fly,4
bat,bat fly,4
fossa,tick,4
lemur,mite,4
bat,bat fly,4
bird,tick,4
fossa,flea,4
bird,flea,4
bird,tick,4
lemur,mite,4
bird,mite,4
bat,bat fly,4
bird,mite,4
bird,mite,4
fossa,flea,4
lemur,flea,4
lemur,mite,4
lemur,mite,4
bat,bat fly,4
bird,mite,4
bat,bat fly,4
lemur,tick,4
lemur,tick,4
lemur,tick,4
bat,bat fly,4
lemur,flea,4
fossa,tick,4
lemur,mite,4
bat,bat fly,4
bird,tick,4
bird,flea,4
lemur,mite,4
bat,bat fly,4
bat,bat fly,4
lemur,tick,4
bird,flea,4
lemur,flea,4
fossa,flea,4
bird,mite,4
fossa,flea,4
bat,bat fly,4
bat,bat fly,4
lemur,tick,4
lemur,tick,4